input oscillator Fock containment:  {15: 0.98964, 20: 0.99736, 30: 0.99978, 40: 0.99998, 60: 1.0}

   s ||Mpsi||^2  n_low  lambda_sub    success
 0.5       3.10     15        2.21   6.38e-01
 0.5       3.10     20        2.35   5.63e-01
 0.5       3.10     30        2.64   4.46e-01
 0.5       3.10     40        2.95   3.57e-01
 0.5       3.10     60        3.68   2.29e-01
 0.5       3.10     80        4.46   1.56e-01
 0.5       3.10    100        4.86   1.31e-01

0.75       5.48     15        3.30   5.04e-01
0.75       5.48     20        3.65   4.11e-01
0.75       5.48     30        4.46   2.75e-01
0.75       5.48     40        5.52   1.80e-01
0.75       5.48     60        8.92   6.88e-02
0.75       5.48     80       14.62   2.56e-02
0.75       5.48    100       26.27   7.94e-03

 1.0       9.68     15        4.97   3.92e-01
 1.0       9.68     20        5.76   2.91e-01
 1.0       9.68     30        7.99   1.52e-01
 1.0       9.68     40       11.68   7.10e-02
 1.0       9.68     60       28.54   1.19e-02
 1.0       9.68     80       77.97   1.59e-03
 1.0       9.68    100      238.09   1.71e-04

=== fair (n_low=40) vs global (n_low=100) success ===
 s=0.5: fair(n40)=3.57e-01   global(n100)=1.31e-01   gain x3
 s=0.75: fair(n40)=1.80e-01   global(n100)=7.94e-03   gain x23
 s=1.0: fair(n40)=7.10e-02   global(n100)=1.71e-04   gain x416
[16s] done
